,r2,MAE,rmsle,r2_basline,MAE_baseline,rmsle_baseline
AdaBoostRegressor_meal_id_StandardScaler,0.22371553592730453,168.7943024733352,93.11378955305757,-0.0009678031695664548,147.76147709577356,87.32607572286248
AdaBoostRegressor_meal_id_RobustScaler,0.19072232034502815,172.2801212673328,94.81226557333888,-0.0009678031695664548,147.76147709577356,87.32607572286248
AdaBoostRegressor_region_code_StandardScaler,-1.3472885296247716,503.1332857100564,191.80579405106064,-0.000809165707738313,218.09089265905135,135.93219864783902
AdaBoostRegressor_region_code_RobustScaler,-1.1829763774943143,484.9904112456809,189.14976104825286,-0.000809165707738313,218.09089265905135,135.93219864783902
AdaBoostRegressor_city_code_StandardScaler,-0.1995982640177892,312.2579264900496,158.2527030105698,-0.0009345196040679718,204.90631756311114,131.1673028700798
AdaBoostRegressor_city_code_RobustScaler,-0.15703272046085934,307.8531881464775,157.30474070064167,-0.0009345196040679718,204.90631756311114,131.1673028700798
AdaBoostRegressor_center_id_StandardScaler,0.0649861488370856,273.86640785839177,150.52796470815431,-0.0014262653917137302,208.95271605381564,130.55801316996994
AdaBoostRegressor_center_id_RobustScaler,0.046289304952560124,273.9344837971809,150.75001548832222,-0.0014262653917137302,208.95271605381564,130.55801316996994
AdaBoostRegressor_None_StandardScaler,0.5202706417192448,166.75492399420276,113.9133891258946,-9.933226255531835e-06,227.96797500129634,138.4289791520627
AdaBoostRegressor_None_RobustScaler,0.5196525075964895,158.24574324868303,109.02960838575042,-9.933226255531835e-06,227.96797500129634,138.4289791520627
AdaBoostRegressor_category_StandardScaler,-0.4412547116518761,288.72015118351794,115.56364148179277,-0.0003569317962372872,144.74197758848752,92.30696838382657
AdaBoostRegressor_category_RobustScaler,-0.3268065567806053,260.4905160307723,112.83113172208381,-0.0003569317962372872,144.74197758848752,92.30696838382657
AdaBoostRegressor_cuisine_StandardScaler,-2.2133900369558197,642.2949927484163,195.55258639092557,-9.542310412397059e-05,214.77084418476576,131.6430681669918
AdaBoostRegressor_cuisine_RobustScaler,-1.980863876474452,609.9364440535102,192.79177528522993,-9.542310412397059e-05,214.77084418476576,131.6430681669918
AdaBoostRegressor_center_type_StandardScaler,-2.1426000757720263,636.4107217697452,210.16368270322153,-6.245672964366733e-06,226.83064597176875,137.00417451172552
AdaBoostRegressor_center_type_RobustScaler,-2.280536023776707,665.8011846109047,215.0871034655727,-6.245672964366733e-06,226.83064597176875,137.00417451172552
